lat,lon
-28.6352,153.7537
-26.868,153.578
-24.527,153.364
-19.963,149.106
-18.636,146.876
-14.722,145.591
-13.763,144.426
-9.3569,144.1406
-9.7943,141.9585
-12.458,141.416
-16.415,141.010
-15.909,138.593
-20.664,138.538
-25.8691,138.9001
-28.0502,143.2947
-31.938,140.147
-28.1955,134.7336
-31.625,131.133
-32.278,132.050
-34.949,134.659
-36.532,137.203
-35.733,138.757
-37.011,139.417
-38.186,140.433
-39.006,143.503
-38.578,144.657
-39.322,146.382
-38.057,148.008
-37.818,150.057
-33.027,151.974
-32.510,152.875
