locality_a,locality_b,transit_time_mins
au--nsw-sydney-city,au--nsw-sydney-eastern-suburbs,14
au--nsw-sydney-city,au--nsw-sydney-inner-west,16
au--nsw-sydney-city,au--nsw-sydney-north-shore,26
au--nsw-sydney-city,au--nsw-sydney-northern-beaches,30
au--nsw-sydney-city,au--nsw-sydney-the-shire,28
au--nsw-sydney-city,au--nsw-sydney-the-hills,40
au--nsw-sydney-north-shore,au--nsw-sydney-northern-beaches,22
au--nsw-sydney-north-shore,au--nsw-sydney-the-hills,26
au--nsw-sydney-eastern-suburbs,au--nsw-sydney-inner-west,24
au--nsw-sydney-eastern-suburbs,au--nsw-sydney-north-shore,35
au--nsw-sydney-eastern-suburbs,au--nsw-sydney-northern-beaches,35
au--nsw-sydney-inner-west,au--nsw-sydney-north-shore,28
au--nsw-sydney-inner-west,au--nsw-sydney-northern-beaches,40
au--nsw-sydney-inner-west,au--nsw-sydney-the-hills,35
au--nsw-sydney-inner-west,au--nsw-sydney-the-shire,35
au--nsw-sydney-eastern-suburbs,au--nsw-sydney-the-shire,35
au--nsw-sydney-pittwater,au--nsw-sydney-northern-beaches,18
au--nsw-sydney-pittwater,au--nsw-sydney-north-shore,28
au--nsw-sydney-northern-suburbs,au--nsw-sydney-north-shore,14
au--nsw-sydney-northern-suburbs,au--nsw-sydney-the-hills,20
au--nsw-sydney-northern-suburbs,au--nsw-sydney-western-suburbs,22
au--nsw-sydney-northern-suburbs,au--nsw-sydney-inner-west,30
au--nsw-sydney-northern-suburbs,au--nsw-sydney-city,28
au--nsw-sydney-northern-suburbs,au--nsw-sydney-nepean,35
au--nsw-sydney-northern-suburbs,au--nsw-sydney-south-west,35
au--nsw-sydney-northern-suburbs,au--nsw-central-coast,50
au--nsw-sydney-western-suburbs,au--nsw-sydney-the-hills,20
au--nsw-sydney-western-suburbs,au--nsw-sydney-northern-suburbs,22
au--nsw-sydney-western-suburbs,au--nsw-sydney-north-shore,28
au--nsw-sydney-western-suburbs,au--nsw-sydney-northern-beaches,50
au--nsw-sydney-western-suburbs,au--nsw-sydney-eastern-suburbs,35
au--nsw-sydney-western-suburbs,au--nsw-sydney-city,28
au--nsw-sydney-western-suburbs,au--nsw-sydney-inner-west,20
au--nsw-sydney-western-suburbs,au--nsw-sydney-st-george,35
au--nsw-sydney-western-suburbs,au--nsw-sydney-south-west,18
au--nsw-sydney-western-suburbs,au--nsw-sydney-macarthur,40
au--nsw-sydney-western-suburbs,au--nsw-sydney-nepean,22
au--nsw-sydney-western-suburbs,au--nsw-sydney-hawkesbury,35
au--nsw-sydney-nepean,au--nsw-sydney-hawkesbury,26
au--nsw-sydney-nepean,au--nsw-blue-mountains,55
au--nsw-sydney-nepean,au--nsw-sydney-the-hills,26
au--nsw-sydney-nepean,au--nsw-sydney-south-west,35
au--nsw-sydney-nepean,au--nsw-sydney-macarthur,40
au--nsw-sydney-hawkesbury,au--nsw-blue-mountains,55
au--nsw-sydney-macarthur,au--nsw-blue-mountains,75
au--nsw-sydney-hawkesbury,au--nsw-sydney-the-hills,24
au--nsw-sydney-hawkesbury,au--nsw-sydney-northern-suburbs,40
au--nsw-sydney-north-shore,au--nsw-central-coast,46
au--nsw-sydney-the-shire,au--nsw-wollongong-illawarra,51
au--nsw-sydney-macarthur,au--nsw-southern-highlands,55
au--nsw-sydney-macarthur,au--nsw-wollongong-illawarra,55
au--nsw-sydney-macarthur,au--nsw-sydney-south-west,28
au--nsw-sydney-macarthur,au--nsw-sydney-the-shire,40
au--nsw-sydney-macarthur,au--nsw-sydney-st-george,30
au--nsw-sydney-macarthur,au--nsw-sydney-city,40
au--nsw-sydney-macarthur,au--nsw-sydney-inner-west,40
au--nsw-sydney-st-george,au--nsw-sydney-south-west,28
au--nsw-sydney-st-george,au--nsw-sydney-the-shire,14
au--nsw-sydney-st-george,au--nsw-wollongong-illawarra,60
au--nsw-sydney-st-george,au--nsw-sydney-inner-west,22
au--nsw-sydney-st-george,au--nsw-sydney-city,24
au--nsw-sydney-st-george,au--nsw-sydney-eastern-suburbs,28
au--nsw-sydney-st-george,au--nsw-sydney-northern-suburbs,45
au--nsw-sydney-st-george,au--nsw-sydney-north-shore,45
au--nsw-sydney-south-west,au--nsw-sydney-the-shire,40
au--nsw-sydney-south-west,au--nsw-sydney-eastern-suburbs,45
au--nsw-sydney-south-west,au--nsw-sydney-inner-west,35
au--nsw-sydney-south-west,au--nsw-sydney-city,40
au--nsw-sydney-south-west,au--nsw-sydney-the-hills,35
au--nsw-sydney-south-west,au--nsw-sydney-north-shore,45
au--nsw-sydney-south-west,au--nsw-sydney-northern-beaches,60
au--nsw-wollongong-illawarra,au--nsw-southern-highlands,59
au--nsw-central-coast,au--nsw-newcastle,68
au--nsw-central-coast,au--nsw-hunter,84
au--nsw-newcastle,au--nsw-hunter,60
au--nsw-sydney-hawkesbury,au--nsw-hunter,150
au--nsw-southern-highlands,au--act-nsw-canberra-queanbeyan,112
au--act-nsw-canberra-queanbeyan,au--nsw-snowy-monaro,82
au--nsw-newcastle,au--nsw-mid-coast,93
au--nsw-hunter,au--nsw-mid-coast,123
au--nsw-mid-coast,au--nsw-mid-north-coast,67
au--nsw-mid-north-coast,au--nsw-coffs-coast,103
au--nsw-coffs-coast,au--nsw-northern-rivers,131
au--act-nsw-canberra-queanbeyan,au--nsw-riverina,227
au--act-nsw-canberra-queanbeyan,au--nsw-vic-albury-wodonga,219
au--nsw-snowy-monaro,au--nsw-vic-albury-wodonga,235
au--nsw-riverina,au--nsw-vic-albury-wodonga,119
au--nsw-wollongong-illawarra,au--nsw-shoalhaven,76
au--nsw-shoalhaven,au--nsw-far-south-coast,131
au--nsw-far-south-coast,au--vic-east-gippsland,220
au--nsw-shoalhaven,au--nsw-southern-highlands,97
au--nsw-shoalhaven,au--act-nsw-canberra-queanbeyan,143
au--nsw-far-south-coast,au--act-nsw-canberra-queanbeyan,169
au--nsw-far-south-coast,au--nsw-snowy-monaro,129
au--vic-melbourne-city,au--vic-melbourne-inner-northern-suburbs,17
au--vic-melbourne-city,au--vic-melbourne-inner-eastern-suburbs,18
au--vic-melbourne-city,au--vic-melbourne-inner-south-eastern-suburbs,18
au--vic-melbourne-city,au--vic-melbourne-inner-western-suburbs,19
au--vic-melbourne-city,au--vic-melbourne-outer-northern-suburbs,33
au--vic-melbourne-city,au--vic-melbourne-outer-eastern-suburbs,37
au--vic-melbourne-city,au--vic-melbourne-outer-south-eastern-suburbs,30
au--vic-melbourne-city,au--vic-melbourne-outer-western-suburbs,29
