locality_a,locality_b,transit_time_mins
au--vic-melbourne-outer-south-eastern-suburbs,au--sa-murraylands,463.0
au--vic-melbourne-outer-south-eastern-suburbs,au--nsw-sydney-st-george,665.0
au--vic-melbourne-outer-south-eastern-suburbs,au--nsw-coffs-coast,1077.0
au--vic-melbourne-outer-south-eastern-suburbs,au--sa-flinders-ranges,772.0
au--vic-melbourne-outer-south-eastern-suburbs,au--nsw-blue-mountains,682.0
au--vic-melbourne-outer-south-eastern-suburbs,au--nsw-snowy-monaro,421.0
au--vic-melbourne-outer-south-eastern-suburbs,au--qld-brisbane-logan,1237.0
au--vic-melbourne-outer-south-eastern-suburbs,au--nsw-shoalhaven,597.0
au--vic-melbourne-outer-south-eastern-suburbs,au--qld-wide-bay,1314.0
au--vic-melbourne-outer-south-eastern-suburbs,au--nsw-vic-albury-wodonga,249.0
au--vic-melbourne-outer-south-eastern-suburbs,au--qld-gold-coast-southern,1295.0
au--vic-melbourne-outer-south-eastern-suburbs,au--vic-mallee,366.0
au--vic-melbourne-outer-south-eastern-suburbs,au--vic-melbourne-outer-northern-suburbs,50.0
au--vic-melbourne-outer-south-eastern-suburbs,au--nsw-western-plains,609.0
au--vic-melbourne-outer-south-eastern-suburbs,au--qld-brisbane-redlands,1272.0
au--vic-melbourne-outer-south-eastern-suburbs,au--qld-gold-coast-downtown,1289.0
au--vic-melbourne-outer-south-eastern-suburbs,au--vic-melbourne-outer-eastern-suburbs,22.0
au--vic-melbourne-outer-south-eastern-suburbs,au--nsw-north-west-slopes,833.0
au--vic-melbourne-outer-south-eastern-suburbs,au--qld-townsville,1944.0
au--vic-melbourne-outer-south-eastern-suburbs,au--qld-north-west,2151.0
au--vic-melbourne-outer-south-eastern-suburbs,au--qld-gold-coast-hinterland,1281.0
au--vic-melbourne-outer-south-eastern-suburbs,au--qld-brisbane-eastern-suburbs,1254.0
au--vic-melbourne-outer-south-eastern-suburbs,au--nsw-sydney-northern-suburbs,697.0
au--vic-melbourne-outer-south-eastern-suburbs,au--vic-bendigo-loddon,150.0
au--vic-melbourne-outer-south-eastern-suburbs,au--vic-east-gippsland,246.0
au--vic-melbourne-outer-south-eastern-suburbs,au--qld-far-north-coast,2187.0
au--vic-melbourne-outer-south-eastern-suburbs,au--nsw-sydney-south-west,663.0
au--vic-melbourne-outer-south-eastern-suburbs,au--qld-flinders,1883.0
au--vic-melbourne-outer-south-eastern-suburbs,au--sa-west-coast,1033.0
au--vic-melbourne-outer-south-eastern-suburbs,au--qld-central-highlands,1437.0
au--vic-melbourne-outer-south-eastern-suburbs,au--nsw-far-south-coast,466.0
