slug,name,area_of_reference,point_of_reference,lat,lon
au--tas-hobart,AU: Tas: Hobart,Hobart,Hobart Post Office,-42.88283,147.33123
au--tas-derwent-valley,AU: Tas: Derwent Valley,New Norfolk,New Norfolk Post Office,-42.78053,147.06338
au--tas-huon,AU: Tas: Huon,Port Huon,Port Huon Post Office,-43.1551,146.964
au--tas-tasman,AU: Tas: Tasman,Dunalley,Dunalley Post Office,-42.8873,147.8119
au--tas-launceston,AU: Tas: Launceston,Launceston,Launceston Post Office,-41.43547,147.13772
au--tas-devonport,AU: Tas: Devonport,Devonport,Devonport Post Office,-41.17995,146.36285
au--tas-burnie,AU: Tas: Burnie,Burnie,Burnie Post Office,-41.0511,145.90595
au--tas-west-coast,AU: Tas: West Coast,Queenstown,Queenstown Post Office,-42.08016,145.55649
au--tas-tamar-valley,AU: Tas: Tamar Valley,George Town,George Town Post Office,-41.10672,146.82435
au--tas-east-coast,AU: Tas: East Coast,Bicheno,Bicheno Post Office,-41.87437,148.30375
au--tas-north-east,AU: Tas: North East,Scottsdale,Scottsdale Post Office,-41.16132,147.51664
au--tas-midlands,AU: Tas: Midlands,Ross,Ross Post Office,-42.02936,147.49215
