locality_a,locality_b,transit_time_mins
au--tas-hobart,au--tas-derwent-valley,33
au--tas-hobart,au--tas-huon,47
au--tas-hobart,au--tas-tasman,43
au--tas-hobart,au--tas-midlands,83
au--tas-derwent-valley,au--tas-midlands,79
au--tas-tasman,au--tas-midlands,97
au--tas-hobart,au--tas-east-coast,139
au--tas-tasman,au--tas-east-coast,124
au--tas-derwent-valley,au--tas-west-coast,187
au--tas-midlands,au--tas-east-coast,74
au--tas-midlands,au--tas-launceston,55
au--tas-east-coast,au--tas-launceston,117
au--tas-launceston,au--tas-north-east,58
au--tas-launceston,au--tas-tamar-valley,36
au--tas-north-east,au--tas-east-coast,132
au--tas-tamar-valley,au--tas-north-east,52
au--tas-launceston,au--tas-devonport,66
au--tas-tamar-valley,au--tas-devonport,78
au--tas-midlands,au--tas-devonport,102
au--tas-devonport,au--tas-north-west,35
au--tas-north-west,au--tas-west-coast,114
