locality_a,locality_b,transit_time_mins
au--tas-west-coast,au--tas-huon,267
au--tas-west-coast,au--tas-north-west,114
au--tas-west-coast,au--tas-launceston,215
au--tas-west-coast,au--tas-midlands,251
au--tas-west-coast,au--tas-derwent-valley,187
au--tas-west-coast,au--tas-east-coast,325
au--tas-west-coast,au--tas-north-east,273
au--tas-west-coast,au--tas-tasman,263
au--tas-west-coast,au--tas-hobart,220
au--tas-west-coast,au--tas-tamar-valley,227
au--tas-west-coast,au--tas-devonport,149
au--tas-huon,au--tas-west-coast,267
au--tas-huon,au--tas-north-west,267
au--tas-huon,au--tas-launceston,185
au--tas-huon,au--tas-midlands,130
au--tas-huon,au--tas-derwent-valley,80
au--tas-huon,au--tas-east-coast,186
au--tas-huon,au--tas-north-east,243
au--tas-huon,au--tas-tasman,90
au--tas-huon,au--tas-hobart,47
au--tas-huon,au--tas-tamar-valley,221
au--tas-huon,au--tas-devonport,232
au--tas-north-west,au--tas-west-coast,114
au--tas-north-west,au--tas-huon,267
au--tas-north-west,au--tas-launceston,101
au--tas-north-west,au--tas-midlands,137
au--tas-north-west,au--tas-derwent-valley,216
au--tas-north-west,au--tas-east-coast,211
au--tas-north-west,au--tas-north-east,159
au--tas-north-west,au--tas-tasman,234
au--tas-north-west,au--tas-hobart,220
au--tas-north-west,au--tas-tamar-valley,113
au--tas-north-west,au--tas-devonport,35
au--tas-launceston,au--tas-west-coast,215
au--tas-launceston,au--tas-huon,185
au--tas-launceston,au--tas-north-west,101
au--tas-launceston,au--tas-midlands,55
au--tas-launceston,au--tas-derwent-valley,134
au--tas-launceston,au--tas-east-coast,117
au--tas-launceston,au--tas-north-east,58
au--tas-launceston,au--tas-tasman,152
au--tas-launceston,au--tas-hobart,138
au--tas-launceston,au--tas-tamar-valley,36
au--tas-launceston,au--tas-devonport,66
au--tas-midlands,au--tas-west-coast,251
au--tas-midlands,au--tas-huon,130
au--tas-midlands,au--tas-north-west,137
au--tas-midlands,au--tas-launceston,55
au--tas-midlands,au--tas-derwent-valley,79
au--tas-midlands,au--tas-east-coast,74
au--tas-midlands,au--tas-north-east,113
au--tas-midlands,au--tas-tasman,97
au--tas-midlands,au--tas-hobart,83
au--tas-midlands,au--tas-tamar-valley,91
au--tas-midlands,au--tas-devonport,102
au--tas-derwent-valley,au--tas-west-coast,187
au--tas-derwent-valley,au--tas-huon,80
au--tas-derwent-valley,au--tas-north-west,216
au--tas-derwent-valley,au--tas-launceston,134
au--tas-derwent-valley,au--tas-midlands,79
au--tas-derwent-valley,au--tas-east-coast,153
au--tas-derwent-valley,au--tas-north-east,192
au--tas-derwent-valley,au--tas-tasman,76
