slug,name,area_of_reference,point_of_reference,lat,lon
au--wa-perth-city,AU: WA: Perth: City,Subiaco,Mueller Park,-31.94453,115.83437
au--wa-perth-fremantle,AU: WA: Perth: Fremantle,Fremantle,Fremantle Park,-32.05002,115.75328
au--wa-perth-northern-suburbs,AU: WA: Perth: Northern Suburbs,Joondalup,Joondalup Post Office,-31.74567,115.76597
au--wa-perth-southern-suburbs,AU: WA: Perth: Southern Suburbs,Kwinana,Kwinana Post Office,-32.24433,115.81424
au--wa-perth-eastern-suburbs,AU: WA: Perth: Eastern Suburbs,High Wycombe,High Wycombe Post Office,-31.93533,116.0053
au--wa-peel,AU: WA: Peel,Mandurah,Mandurah Post Office,-32.53442,115.72091
au--wa-swan-valley,AU: WA: Swan Valley,Middle Swan,Great Northern Distillery,-31.8502,116.01608
au--wa-south-west,AU: WA: South West,Margaret River,Margaret River Post Office,-33.95143,115.07541
au--wa-great-southern,AU: WA: Great Southern,Albany,Albany Post Office,-35.02369,117.88372
au--wa-wheatbelt,AU: WA: Wheatbelt,Northam,Northam Post Office,-31.65505,116.67023
au--wa-goldfields,AU: WA: Goldfields,Kalgoorlie,Kalgoorlie Train Station,-30.74623,121.46651
au--wa-esperance,AU: WA: Esperance,Esperance,Esperance Post Office,-33.86103,121.89194
au--wa-mid-west,AU: WA: Mid West,Geraldton,Geraldton Post Office,-28.77389,114.61185
au--wa-gascoyne,AU: WA: Gascoyne,Carnarvon,Carnarvon Post Office,-24.88346,113.65691
