locality_a,locality_b,transit_time_mins
au--wa-perth-city,au--wa-perth-fremantle,24
au--wa-perth-city,au--wa-perth-northern-suburbs,22
au--wa-perth-city,au--wa-perth-southern-suburbs,35
au--wa-perth-city,au--wa-perth-eastern-suburbs,24
au--wa-perth-city,au--wa-peel,55
au--wa-perth-southern-suburbs,au--wa-peel,35
au--wa-perth-fremantle,au--wa-perth-southern-suburbs,30
au--wa-perth-fremantle,au--wa-perth-eastern-suburbs,35
au--wa-perth-eastern-suburbs,au--wa-perth-northern-suburbs,40
au--wa-perth-northern-suburbs,au--wa-perth-fremantle,45
au--wa-perth-eastern-suburbs,au--wa-perth-southern-suburbs,40
au--wa-perth-city,au--wa-swan-valley,35
au--wa-perth-eastern-suburbs,au--wa-swan-valley,35
au--wa-perth-northern-suburbs,au--wa-swan-valley,16
au--wa-peel,au--wa-south-west,143
au--wa-south-west,au--wa-great-southern,233
au--wa-perth-eastern-suburbs,au--wa-wheatbelt,62
au--wa-wheatbelt,au--wa-great-southern,275
au--wa-swan-valley,au--wa-wheatbelt,59
au--wa-peel,au--wa-wheatbelt,111
au--wa-peel,au--wa-great-southern,260
au--wa-perth-southern-suburbs,au--wa-great-southern,260
au--wa-wheatbelt,au--wa-goldfields,322
au--wa-great-southern,au--wa-esperance,305
au--wa-goldfields,au--wa-esperance,253
au--wa-perth-northern-suburbs,au--wa-mid-west,254
au--wa-mid-west,au--wa-gascoyne,296
au--wa-gascoyne,au--wa-pilbara,306
