locality_a,locality_b,transit_time_mins
au--wa-south-west,au--wa-great-southern,233.0
au--wa-south-west,au--wa-pilbara,1076.0
au--wa-south-west,au--wa-esperance,538.0
au--wa-south-west,au--wa-gascoyne,770.0
au--wa-south-west,au--wa-perth-northern-suburbs,220.0
au--wa-south-west,au--wa-goldfields,576.0
au--wa-south-west,au--wa-perth-southern-suburbs,178.0
au--wa-south-west,au--wa-perth-city,198.0
au--wa-south-west,au--wa-perth-fremantle,208.0
au--wa-south-west,au--wa-swan-valley,233.0
au--wa-south-west,au--wa-wheatbelt,254.0
au--wa-south-west,au--wa-peel,143.0
au--wa-south-west,au--wa-mid-west,474.0
au--wa-south-west,au--wa-perth-eastern-suburbs,218.0
au--wa-great-southern,au--wa-south-west,233.0
au--wa-great-southern,au--wa-pilbara,1173.0
au--wa-great-southern,au--wa-esperance,305.0
au--wa-great-southern,au--wa-gascoyne,867.0
au--wa-great-southern,au--wa-perth-northern-suburbs,317.0
au--wa-great-southern,au--wa-goldfields,558.0
au--wa-great-southern,au--wa-perth-southern-suburbs,260.0
au--wa-great-southern,au--wa-perth-city,295.0
au--wa-great-southern,au--wa-perth-fremantle,290.0
au--wa-great-southern,au--wa-swan-valley,330.0
au--wa-great-southern,au--wa-wheatbelt,275.0
au--wa-great-southern,au--wa-peel,260.0
au--wa-great-southern,au--wa-mid-west,571.0
au--wa-great-southern,au--wa-perth-eastern-suburbs,300.0
au--wa-pilbara,au--wa-south-west,1076.0
au--wa-pilbara,au--wa-great-southern,1173.0
au--wa-pilbara,au--wa-esperance,1478.0
au--wa-pilbara,au--wa-gascoyne,306.0
au--wa-pilbara,au--wa-perth-northern-suburbs,856.0
au--wa-pilbara,au--wa-goldfields,1253.0
au--wa-pilbara,au--wa-perth-southern-suburbs,913.0
au--wa-pilbara,au--wa-perth-city,878.0
au--wa-pilbara,au--wa-perth-fremantle,901.0
au--wa-pilbara,au--wa-swan-valley,872.0
au--wa-pilbara,au--wa-wheatbelt,931.0
