lat,lon
-0.706,104.021
-0.753,105.134
1.236,105.172
7.842,103.975
8.048,106.919
10.001,109.874
15.56,109.94
17.382,109.149
23.564,118.191
26.333,121.135
30.865,123.948
34.985,120.509
37.152,123.387
39.62,124.1263
39.8296,124.1716
39.9719,124.3536
40.0323,124.381
40.0542,124.3336
40.1763,124.4621
40.3206,124.7329
40.4051,124.8164
40.4707,124.8885
40.448,125.0423
40.615,125.3087
40.8554,125.7907
40.8886,126.0214
41.1642,126.2734
41.351,126.535
41.6237,126.6284
41.7478,126.8049
41.737,126.9463
41.4849,127.2189
41.3541,128.0992
41.4111,128.182
41.4103,128.2039
41.4286,128.2074
41.5959,128.3244
41.7467,128.1541
41.9911,128.1171
42.032,128.9534
42.1909,129.1869
42.2529,129.202
42.3763,129.3489
42.4306,129.7176
42.4756,129.7568
42.9836,129.8982
42.9534,130.1125
42.9031,130.0919
42.8911,130.247
42.7218,130.2223
42.544,130.4544
42.5976,130.5128
42.4179,130.5945
42.4326,130.6384
42.6794,130.5828
42.7314,130.4269
42.9142,131.1397
43.4978,131.3333
43.5476,131.2331
44.0237,131.2993
44.3857,131.2207
44.8559,131.0985
45.2701,131.8919
45.0517,132.846
45.0425,133.028
45.8518,133.5786
45.9626,133.6844
46.3574,133.9961
47.1981,134.2419
47.7827,134.8503
48.0239,134.6361
48.3718,134.8544
48.4875,134.6059
48.504,134.179
48.071,132.77
47.9642,132.7076
47.9262,132.6417
47.7213,132.5367
47.7559,131.2152
47.6876,131.1263
47.683,130.9426
47.8261,130.9515
48.895,130.553
49.591,130.677
51.274,129.419
52.511,127.84
52.814,126.181
53.324,125.288
53.729,123.53
53.452,120.657
52.746,119.811
50.4321,119.1412
50.2288,119.1605
49.6089,117.6979
49.6392,117.2145
49.8433,116.7078
48.913,115.631
47.562,115.098
47.732,117.002
47.634,117.375
47.99,117.837
47.951,118.477
47.13,119.699
46.751,119.748
46.856,117.422
46.085,116.241
45.7575,116.2251
45.7244,116.1718
44.823,113.626
45.269,111.942
44.477,111.357
43.809,111.9188
43.7061,111.9414
43.6895,111.8923
43.6862,111.7684
43.357,110.863
42.6398,109.9855
42.6408,109.9574
42.4143,107.5912
42.4128,107.5651
42.4607,107.493
41.91,104.524
42.5766,101.3334
42.6021,101.2054
42.739,100.415
42.882,96.545
44.332,95.515
44.7119,94.1044
45.081,93.321
45.342,90.901
46.0423,91.0619
46.1425,91.0046
46.3026,90.9493
46.691,91.121
47.876,90.115
48.598,88.05
49.158,87.811
49.11,86.841
48.538,86.424
48.416,85.759
48.17,85.507
47.5858,85.5811
47.497,85.5917
47.4046,85.6645
47.096,85.493
47.287,82.982
46.6546,82.7689
46.495,82.689
45.965,82.312
45.551,82.23
45.2459,82.5777
45.1917,82.4555
45.42,81.725
45.006,79.805
44.579,80.307
44.3575,80.389
44.3211,80.3949
44.2371,80.4017
44.1908,80.3931
44.1142,80.3962
43.938,80.4587
43.7299,80.5614
43.4509,80.7437
43.3262,80.6723
43.2952,80.7564
43.1541,80.7725
43.0272,80.3238
42.9431,80.4903
42.9004,80.5857
42.8231,80.2544
42.6998,80.2098
42.253,80.239
42.21,80.118
42.07,80.126
40.662,75.509
40.053,73.872
39.549,73.897
39.406,73.479
38.985,73.71
38.598,73.77
38.417,74.616
37.372,75.094
37.237,74.419
36.946,74.526
36.888,75.396
36.732,75.46
35.655,76.726
35.463,78.055
34.649,78.272
34.568,78.662
34.337,79.047
33.943,78.78
33.541,78.766
33.064,79.198
32.7272,79.4614
32.6856,79.4439
32.54,79.384
32.329,78.951
32.621,78.712
32.542,78.434
31.989,78.78
31.787,78.752
31.081,79.547
30.278,81.043
30.117,81.164
30.522,81.497
30.323,82.235
29.346,83.99
29.207,84.391
28.719,84.702
28.676,84.85
28.683,85.064
28.657,85.218
28.367,85.155
28.263,85.853
28.065,85.935
28.004,86.309
28.15,86.679
27.873,87.286
27.878,87.665
28.183,88.638
27.958,88.921
27.4699,88.8361
27.3712,88.9206
27.3827,89.0284
27.8543,89.2488
28.2385,89.6395
28.254,89.849
27.861,91.648
27.8075,91.7187
27.7911,91.8436
27.748,91.8814
27.748,91.935
27.8215,91.9878
27.941,92.499
28.212,92.692
28.37,93.068
28.582,93.197
28.633,93.439
29.363,94.666
29.2,95.188
29.44,96.056
28.399,97.02
28.6026,97.6218
28.1568,98.2274
27.6397,98.2439
27.557,98.7094
26.6671,98.7863
26.2602,98.7122
26.1752,98.4389
25.7999,98.2466
25.6712,98.0447
25.3589,97.9829
25.2372,97.674
24.8378,97.6067
24.7693,97.5092
24.4096,97.4707
24.1806,97.6451
23.8758,97.3801
23.7351,97.6245
24.0277,98.3208
24.0038,98.6009
23.7577,98.6023
23.3826,98.5982
22.1365,99.0678
21.92,99.272
21.721,99.695
21.371,100.011
21.082,100.344
20.53,100.083
20.5531,99.7504
20.3717,99.749
20.4116,99.4373
20.1875,99.5169
20.1204,99.3974
20.1462,99.05
19.8287,98.9854
19.64,97.7866
19.1114,97.8264
18.5721,97.733
18.3897,97.4625
17.5602,97.8868
16.8243,98.4691
16.6665,98.3318
16.548,98.5803
16.3175,98.6847
16.4203,98.9113
16.1237,98.8701
16.0471,98.5748
15.3862,98.5501
15.4285,98.2672
15.2378,98.1862
14.8306,98.2329
14.3336,98.5913
14.0473,98.9717
13.8514,98.9703
13.7527,99.1571
12.8506,99.1805
11.8835,99.5787
11.7181,99.5238
10.6431,98.7547
10.5162,98.8
10.1,98.5995
10.1284,98.4114
7.74,97.773
2.23,101.596
1.34,103.068
0.599,103.359
0.22,103.876
