lat,lon
43.481,9.470
38.087,10.756
36.470,14.337
35.98,22.533
36.109,26.966
36.635,28.290
35.668,29.026
36.0430,35.6863
35.9497,35.9157
35.9574,36.0310
35.8918,36.0118
35.8718,36.1272
36.043,36.329
36.2271,36.3538
36.2504,36.4911
36.2481,36.6573
36.3157,36.5872
36.4870,36.4966
36.6580,36.5309
36.8714,36.6312
36.7845,37.0253
36.691,37.0789
36.728,37.370
37.014,38.194
36.776,39.078
37.053,40.287
37.193,40.754
37.364,42.160
37.455,42.753
37.329,44.434
37.690,44.478
37.847,44.099
38.266,44.253
39.426,43.912
39.451,44.319
39.680,44.352
39.819,44.539
56.1698,28.1497
56.2775,28.2355
56.448,28.185
56.515,28.098
56.565,28.133
56.594,28.037
56.677,28.004
56.753,27.894
56.817,27.957
56.874,27.864
56.839,27.661
56.913,27.677
56.92,27.735
57.001,27.754
57.009,27.716
57.125,27.74
57.147,27.806
57.302,27.87
57.431,27.521
57.54,27.551
57.51827,27.35098
57.5796,27.3134
57.6016,27.3944
57.64333,27.37965
57.7016,27.3917
57.7229,27.5084
57.8447,27.5427
57.8393,27.7652
57.8977,27.8091
58.0099,27.6773
58.0041,27.6196
58.0521,27.6018
58.1174,27.5949
58.2203,27.4878
58.3034,27.4864
58.3618,27.551
58.7849,27.3546
58.9582,27.6952
59.2459,27.9025
59.2894,28.0275
59.2915,28.1264
59.34663,28.1916
59.35284,28.1904
59.35774,28.20053
59.36133,28.19813
59.3643,28.20568
59.36675,28.20551
59.37112,28.21066
59.37497,28.20225
59.37978,28.20723
59.38345,28.20826
59.39971,28.19401
59.4158,28.1841
59.4745,28.044
59.525,27.850
60.436,27.724
60.6053,27.8699
60.859,28.32241
60.92413,28.4606
60.9579,28.52085
60.95707,28.55175
61.1229,28.811
61.1294,28.8388
61.1774,28.9734
61.2733,29.224
61.3493,29.3129
61.4574,29.4794
61.4925,29.4907
61.5289,29.6040
62.1661,30.61924
62.17396,30.63005
62.19006,30.62439
62.21135,30.64224
62.292,30.723
62.935,31.369
63.761,29.891
63.869,30.114
64.209,30.347
64.37,30.001
64.52,29.96
64.54174,29.98735
64.54758,29.9889
64.6036,29.9240
64.6477,30.0311
64.7651,29.9762
64.7621,29.6617
65.0713,29.5615
65.1170,29.7702
65.1983,29.7922
65.2098,29.6288
65.2708,29.5505
65.6455,29.6645
65.7162,30.0449
65.7966,30.10202
65.80079,30.10117
65.862,29.987
66.869,28.954
66.93864,29.03
66.94610,29.03051
67.004,28.982
67.581,29.800
68.173,28.597
68.47469,28.47309
68.47724,28.4715
68.5409,28.4076
68.8077,28.5631
68.9201,28.3873
69.0541,28.8872
69.2038,29.2635
69.3202,29.5543
69.4226,29.8457
69.4088,29.9412
69.4669,30.106
69.5238,30.1214
69.6413,30.0837
69.6608,30.0758
69.6707,30.1513
69.65973,30.19468
69.65651,30.20884
69.5588,30.8139
69.8005,30.7961
70.388,31.756
71.81,31.38
71.92,14.59
58.663,-1.395
58.737,-5.339
57.489,-7.020
55.743,-7.196
54.924,-5.394
54.563,-5.131
54.531,-3.955
53.641,-3.505
53.583,-4.889
50.187,-6.446
49.734,-5.219
49.849,-2.060
48.806,-1.664
48.784,-2.738
49.089,-3.079
48.731,-5.647
43.949,-10.283
36.018,-10.514
28.049,-13.508
23.173,-16.683
22.448,-14.227
23.918,-13.804
25.087,-12.327
26.041,-12.038
26.171,-11.687
26.977,-11.368
27.134,-9.064
27.986,-8.731
28.766,-8.742
29.665,-7.218
29.739,-5.672
30.889,-3.917
31.725,-3.755
31.834,-2.889
32.174,-2.983
32.2052,-2.0146
32.0898,-1.2634
32.0846,-1.2312
32.1131,-1.1824
32.15389,-1.18738
32.15621,-1.30703
32.17685,-1.30857
32.2154,-1.2579
32.3414,-1.2641
32.4255,-1.2030
32.4318,-1.1302
32.5164,-1.0361
32.7333,-1.4145
32.9727,-1.5868
33.355,-1.772
34.3964,-1.8018
34.46177,-1.72297
34.48824,-1.69807
34.5471,-1.8176
34.6201,-1.8629
34.69879,-1.78013
34.72687,-1.77464
34.74352,-1.74734
34.78653,-1.84124
34.80528,-1.89137
34.87755,-1.97960
34.92922,-1.98286
34.92317,-2.04466
34.94774,-2.08225
34.96522,-2.10165
34.96754,-2.10865
35.01320,-2.18559
35.05002,-2.22422
35.06764,-2.21516
35.07073,-2.21576
35.08612,-2.21276
35.3314,-2.2206
42.549,4.032
