locality_a,locality_b,transit_time_mins
gb-eng--london-central-london,gb-eng--berkshire-windsor-slough-maidenhead,55
gb-eng--london-central-london,gb-eng--berkshire-reading,48
gb-eng--london-central-london,gb-eng--kent-medway-maidstone,55
gb-eng--london-central-london,gb-eng--essex-chelmsford,39
gb-eng--london-central-london,gb-eng--kent-ashford,62
gb-eng--london-central-london,gb-eng--buckinghamshire-milton-keynes,59
gb-eng--essex-chelmsford,gb-eng--essex-colchester,27
gb-eng--berkshire-windsor-slough-maidenhead,gb-eng--berkshire-reading,30
gb-eng--kent-medway-maidstone,gb-eng--kent-ashford,35
gb-eng--essex-hertfordshire-epping-harlow-stortford,gb-eng--essex-chelmsford,35
gb-eng--essex-hertfordshire-epping-harlow-stortford,gb-eng--cambridgeshire-cambridge,50
gb-eng--essex-hertfordshire-epping-harlow-stortford,gb-eng--hertfordshire-stevenage-welwyn,35
gb-eng--essex-hertfordshire-epping-harlow-stortford,gb-eng--hertfordshire-watford-st-albans,45
gb-eng--essex-grays,gb-eng--essex-hertfordshire-epping-harlow-stortford,40
gb-eng--essex-grays,gb-eng--essex-chelmsford,30
gb-eng--essex-grays,gb-eng--essex-southend-basildon,22
gb-eng--essex-grays,gb-eng--kent-medway-maidstone,30
gb-eng--essex-grays,gb-eng--kent-east-sussex-tunbridge-sevenoaks,40
gb-eng--essex-southend-basildon,gb-eng--essex-chelmsford,22
gb-eng--kent-canterbury-dover,gb-eng--kent-medway-maidstone,40
gb-eng--kent-canterbury-dover,gb-eng--kent-ashford,35
gb-eng--hertfordshire-stevenage-welwyn,gb-eng--hertfordshire-watford-st-albans,24
gb-eng--hertfordshire-stevenage-welwyn,gb-eng--bedfordshire-luton,26
gb-eng--hertfordshire-stevenage-welwyn,gb-eng--bedfordshire-bedford,45
gb-eng--hertfordshire-stevenage-welwyn,gb-eng--cambridgeshire-cambridge,45
gb-eng--bedfordshire-luton,gb-eng--hertfordshire-watford-st-albans,22
gb-eng--bedfordshire-luton,gb-eng--buckinghamshire-milton-keynes,35
gb-eng--bedfordshire-luton,gb-eng--bedfordshire-bedford,27
gb-eng--buckinghamshire-chilterns,gb-eng--hertfordshire-watford-st-albans,40
gb-eng--buckinghamshire-chilterns,gb-eng--berkshire-windsor-slough-maidenhead,40
gb-eng--buckinghamshire-chilterns,gb-eng--berkshire-reading,45
gb-eng--buckinghamshire-chilterns,gb-eng--oxfordshire,35
gb-eng--buckinghamshire-chilterns,gb-eng--buckinghamshire-milton-keynes,50
gb-eng--berkshire-windsor-slough-maidenhead,gb-eng--surrey-hampshire-guildford-woking-blackwater,45
gb-eng--surrey-hampshire-guildford-woking-blackwater,gb-eng--west-sussex-surrey-crawley,50
gb-eng--surrey-hampshire-guildford-woking-blackwater,gb-eng--west-sussex-south-downs,40
gb-eng--surrey-hampshire-guildford-woking-blackwater,gb-eng--hampshire-basingstoke,35
gb-eng--surrey-hampshire-guildford-woking-blackwater,gb-eng--berkshire-reading,40
gb-eng--london-central-london,gb-eng--london-north-london,28
gb-eng--london-central-london,gb-eng--london-east-london,26
gb-eng--london-central-london,gb-eng--london-south-london,30
gb-eng--london-central-london,gb-eng--london-surrey-south-west-london,40
gb-eng--london-central-london,gb-eng--london-west-london,30
gb-eng--london-north-london,gb-eng--london-east-london,30
gb-eng--london-east-london,gb-eng--london-south-london,33
gb-eng--london-south-london,gb-eng--london-surrey-south-west-london,40
gb-eng--london-surrey-south-west-london,gb-eng--london-west-london,30
gb-eng--london-west-london,gb-eng--london-north-london,24
gb-eng--london-north-london,gb-eng--london-surrey-south-west-london,45
gb-eng--london-east-london,gb-eng--london-surrey-south-west-london,52
gb-eng--london-north-london,gb-eng--hertfordshire-watford-st-albans,26
gb-eng--london-north-london,gb-eng--essex-hertfordshire-epping-harlow-stortford,35
gb-eng--london-east-london,gb-eng--essex-hertfordshire-epping-harlow-stortford,28
gb-eng--london-east-london,gb-eng--essex-grays,28
gb-eng--london-south-london,gb-eng--kent-dartford-gravesend,35
gb-eng--london-south-london,gb-eng--kent-east-sussex-tunbridge-sevenoaks,45
gb-eng--london-south-london,gb-eng--west-sussex-surrey-crawley,50
gb-eng--london-surrey-south-west-london,gb-eng--west-sussex-surrey-crawley,45
gb-eng--london-surrey-south-west-london,gb-eng--surrey-hampshire-guildford-woking-blackwater,40
gb-eng--london-surrey-south-west-london,gb-eng--berkshire-windsor-slough-maidenhead,40
gb-eng--london-west-london,gb-eng--surrey-hampshire-guildford-woking-blackwater,50
gb-eng--london-west-london,gb-eng--berkshire-windsor-slough-maidenhead,35
gb-eng--london-west-london,gb-eng--hertfordshire-watford-st-albans,26
gb-eng--kent-dartford-gravesend,gb-eng--essex-grays,22
gb-eng--kent-dartford-gravesend,gb-eng--kent-medway-maidstone,20
gb-eng--kent-dartford-gravesend,gb-eng--london-east-london,30
gb-eng--kent-dartford-gravesend,gb-eng--kent-east-sussex-tunbridge-sevenoaks,30
gb-eng--buckinghamshire-chilterns,gb-eng--london-west-london,45
gb-eng--berkshire-windsor-slough-maidenhead,gb-eng--hertfordshire-watford-st-albans,40
gb-eng--london-central-london,gb-eng--essex-southend-basildon,55
gb-eng--kent-medway-maidstone,gb-eng--kent-east-sussex-tunbridge-sevenoaks,35
gb-eng--kent-east-sussex-tunbridge-sevenoaks,gb-eng--west-sussex-surrey-crawley,45
gb-eng--west-sussex-surrey-crawley,gb-eng--west-sussex-south-downs,50
gb-eng--west-sussex-south-downs,gb-eng--hampshire-basingstoke,50
gb-eng--hampshire-basingstoke,gb-eng--berkshire-reading,17
gb-eng--london-surrey-south-west-london,gb-eng--kent-east-sussex-tunbridge-sevenoaks,55
gb-eng--kent-dartford-gravesend,gb-eng--west-sussex-surrey-crawley,50
gb-eng--kent-medway-maidstone,gb-eng--west-sussex-surrey-crawley,55
gb-eng--kent-east-sussex-tunbridge-sevenoaks,gb-eng--surrey-hampshire-guildford-woking-blackwater,60
gb-eng--london-west-london,gb-eng--hampshire-basingstoke,55
gb-eng--london-surrey-south-west-london,gb-eng--hampshire-basingstoke,50
gb-eng--berkshire-reading,gb-eng--oxfordshire,40
gb-eng--oxfordshire,gb-eng--london-west-london,60
gb-eng--cambridgeshire-cambridge,gb-eng--london-north-london,65
gb-eng--oxfordshire,gb-eng--buckinghamshire-milton-keynes,65
gb-eng--buckinghamshire-milton-keynes,gb-eng--bedfordshire-bedford,28
gb-eng--bedfordshire-bedford,gb-eng--cambridgeshire-cambridge,50
gb-eng--oxfordshire,gb-eng--bedfordshire-luton,70
gb-eng--cambridgeshire-cambridge,gb-eng--essex-chelmsford,60
gb-eng--cambridgeshire-cambridge,gb-eng--essex-colchester,65
gb-eng--hertfordshire-stevenage-welwyn,gb-eng--essex-colchester,70
