locality_a,locality_b,transit_time_mins
gb--london-inner-north-east,gb--london-inner-south-east,28.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-south-east,76.0
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-south-east,85.0
gb--berkshire-reading,gb--london-inner-south-east,76.0
gb--kent-north-west-kent,gb--london-inner-south-east,30.0
gb--london-essex-outer-east,gb--london-inner-south-east,35.0
gb--london-inner-north,gb--london-inner-south-east,35.0
gb--london-inner-south-east,gb--london-surrey-outer-south,40.0
gb--london-inner-south-east,gb--london-inner-west,40.0
gb--essex-chelmsford,gb--london-inner-south-east,55.0
gb--london-inner-south-east,gb--london-surrey-outer-south-west,67.0
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-south-east,80.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-south-east,73.0
gb--kent-medway-maidstone,gb--london-inner-south-east,50.0
gb--kent-ashford,gb--london-inner-south-east,80.0
gb--cambridgeshire-huntingdonshire,gb--london-inner-south-east,95.0
gb--london-inner-south,gb--london-inner-south-east,22.0
gb--london-central-london,gb--london-inner-south-east,28.0
gb--london-inner-south-east,gb--london-kent-outer-south-east,20.0
gb--london-essex-outer-north-east,gb--london-inner-south-east,44.0
gb--london-inner-south-east,gb--london-inner-south-west,40.0
gb--essex-colchester,gb--london-inner-south-east,82.0
gb--kent-south-west-kent,gb--london-inner-south-east,40.0
gb--london-inner-south-east,gb--surrey-west-sussex-east-surrey,60.0
gb--essex-thurrock,gb--london-inner-south-east,40.0
gb--london-hertfordshire-outer-north,gb--london-inner-south-east,48.0
gb--london-inner-south-east,gb--surrey-west-surrey,77.0
gb--london-inner-north-west,gb--london-inner-south-east,48.0
gb--essex-southend,gb--london-inner-south-east,75.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-inner-south-east,63.0
gb--buckinghamshire-milton-keynes,gb--london-inner-south-east,87.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-south-east,66.0
gb--london-inner-east,gb--london-inner-south-east,20.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-north-east,52.0
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-north-east,65.0
gb--berkshire-reading,gb--london-inner-north-east,74.0
gb--kent-north-west-kent,gb--london-inner-north-east,53.0
gb--london-essex-outer-east,gb--london-inner-north-east,28.0
gb--london-inner-north,gb--london-inner-north-east,18.0
gb--london-inner-north-east,gb--london-surrey-outer-south,66.0
gb--london-inner-north-east,gb--london-inner-west,38.0
gb--essex-chelmsford,gb--london-inner-north-east,45.0
gb--london-inner-north-east,gb--london-surrey-outer-south-west,72.0
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-north-east,69.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-north-east,52.0
gb--kent-medway-maidstone,gb--london-inner-north-east,68.0
gb--kent-ashford,gb--london-inner-north-east,88.0
gb--cambridgeshire-huntingdonshire,gb--london-inner-north-east,90.0
gb--london-inner-north-east,gb--london-inner-south,31.0
gb--london-central-london,gb--london-inner-north-east,26.0
gb--london-inner-north-east,gb--london-kent-outer-south-east,42.0
gb--london-essex-outer-north-east,gb--london-inner-north-east,16.0
gb--london-inner-north-east,gb--london-inner-south-west,44.0
gb--essex-colchester,gb--london-inner-north-east,72.0
gb--kent-south-west-kent,gb--london-inner-north-east,66.0
gb--london-inner-north-east,gb--surrey-west-sussex-east-surrey,83.0
gb--essex-thurrock,gb--london-inner-north-east,40.0
gb--london-hertfordshire-outer-north,gb--london-inner-north-east,20.0
gb--london-inner-north-east,gb--surrey-west-surrey,84.0
gb--london-inner-north-east,gb--london-inner-north-west,24.0
gb--essex-southend,gb--london-inner-north-east,71.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-inner-north-east,35.0
gb--buckinghamshire-milton-keynes,gb--london-inner-north-east,85.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-north-east,52.0
gb--london-inner-east,gb--london-inner-north-east,18.0
gb--buckinghamshire-south-buckinghamshire,gb--hertfordshire-bedfordshire-st-albans-luton,35.0
gb--berkshire-reading,gb--hertfordshire-bedfordshire-st-albans-luton,80.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--kent-north-west-kent,97.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-essex-outer-east,67.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-north,45.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-surrey-outer-south,92.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-west,45.0
gb--essex-chelmsford,gb--hertfordshire-bedfordshire-st-albans-luton,80.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-surrey-outer-south-west,78.0
gb--berkshire-windsor-slough-maidenhead,gb--hertfordshire-bedfordshire-st-albans-luton,50.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-hertfordshire-buckinghamshire-outer-north-west,28.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--kent-medway-maidstone,105.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--kent-ashford,112.0
gb--cambridgeshire-huntingdonshire,gb--hertfordshire-bedfordshire-st-albans-luton,55.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-south,64.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-central-london,50.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-kent-outer-south-east,85.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-essex-outer-north-east,45.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-south-west,57.0
gb--essex-colchester,gb--hertfordshire-bedfordshire-st-albans-luton,105.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--kent-south-west-kent,107.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--surrey-west-sussex-east-surrey,107.0
gb--essex-thurrock,gb--hertfordshire-bedfordshire-st-albans-luton,80.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-hertfordshire-outer-north,35.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--surrey-west-surrey,92.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-north-west,28.0
gb--essex-southend,gb--hertfordshire-bedfordshire-st-albans-luton,100.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--hertfordshire-essex-east-hertfordshire,40.0
gb--buckinghamshire-milton-keynes,gb--hertfordshire-bedfordshire-st-albans-luton,40.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-buckinghamshire-berkshire-outer-west,52.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-east,63.0
gb--berkshire-reading,gb--buckinghamshire-south-buckinghamshire,50.0
gb--buckinghamshire-south-buckinghamshire,gb--kent-north-west-kent,110.0
gb--buckinghamshire-south-buckinghamshire,gb--london-essex-outer-east,85.0
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-north,60.0
gb--buckinghamshire-south-buckinghamshire,gb--london-surrey-outer-south,80.0
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-west,45.0
gb--buckinghamshire-south-buckinghamshire,gb--essex-chelmsford,99.0
gb--buckinghamshire-south-buckinghamshire,gb--london-surrey-outer-south-west,55.0
gb--berkshire-windsor-slough-maidenhead,gb--buckinghamshire-south-buckinghamshire,35.0
gb--buckinghamshire-south-buckinghamshire,gb--london-hertfordshire-buckinghamshire-outer-north-west,30.0
gb--buckinghamshire-south-buckinghamshire,gb--kent-medway-maidstone,115.0
gb--buckinghamshire-south-buckinghamshire,gb--kent-ashford,122.0
gb--buckinghamshire-south-buckinghamshire,gb--cambridgeshire-huntingdonshire,90.0
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-south,71.0
gb--buckinghamshire-south-buckinghamshire,gb--london-central-london,60.0
gb--buckinghamshire-south-buckinghamshire,gb--london-kent-outer-south-east,100.0
gb--buckinghamshire-south-buckinghamshire,gb--london-essex-outer-north-east,71.0
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-south-west,57.0
gb--buckinghamshire-south-buckinghamshire,gb--essex-colchester,120.0
gb--buckinghamshire-south-buckinghamshire,gb--kent-south-west-kent,115.0
gb--buckinghamshire-south-buckinghamshire,gb--surrey-west-sussex-east-surrey,95.0
gb--buckinghamshire-south-buckinghamshire,gb--essex-thurrock,105.0
gb--buckinghamshire-south-buckinghamshire,gb--london-hertfordshire-outer-north,45.0
gb--buckinghamshire-south-buckinghamshire,gb--surrey-west-surrey,75.0
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-north-west,45.0
gb--buckinghamshire-south-buckinghamshire,gb--essex-southend,125.0
gb--buckinghamshire-south-buckinghamshire,gb--hertfordshire-essex-east-hertfordshire,55.0
gb--buckinghamshire-milton-keynes,gb--buckinghamshire-south-buckinghamshire,50.0
gb--buckinghamshire-south-buckinghamshire,gb--london-buckinghamshire-berkshire-outer-west,35.0
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-east,80.0
gb--berkshire-reading,gb--kent-north-west-kent,98.0
gb--berkshire-reading,gb--london-essex-outer-east,88.0
gb--berkshire-reading,gb--london-inner-north,68.0
gb--berkshire-reading,gb--london-surrey-outer-south,80.0
gb--berkshire-reading,gb--london-inner-west,61.0
gb--berkshire-reading,gb--essex-chelmsford,87.0
gb--berkshire-reading,gb--london-surrey-outer-south-west,55.0
gb--berkshire-reading,gb--berkshire-windsor-slough-maidenhead,30.0
gb--berkshire-reading,gb--london-hertfordshire-buckinghamshire-outer-north-west,59.0
gb--berkshire-reading,gb--kent-medway-maidstone,103.0
gb--berkshire-reading,gb--kent-ashford,110.0
gb--berkshire-reading,gb--cambridgeshire-huntingdonshire,115.0
gb--berkshire-reading,gb--london-inner-south,66.0
gb--berkshire-reading,gb--london-central-london,48.0
gb--berkshire-reading,gb--london-kent-outer-south-east,88.0
gb--berkshire-reading,gb--london-essex-outer-north-east,83.0
gb--berkshire-reading,gb--london-inner-south-west,65.0
gb--berkshire-reading,gb--essex-colchester,111.0
gb--berkshire-reading,gb--kent-south-west-kent,105.0
gb--berkshire-reading,gb--surrey-west-sussex-east-surrey,95.0
gb--berkshire-reading,gb--essex-thurrock,93.0
gb--berkshire-reading,gb--london-hertfordshire-outer-north,80.0
gb--berkshire-reading,gb--surrey-west-surrey,45.0
gb--berkshire-reading,gb--london-inner-north-west,63.0
gb--berkshire-reading,gb--essex-southend,113.0
gb--berkshire-reading,gb--hertfordshire-essex-east-hertfordshire,103.0
gb--berkshire-reading,gb--buckinghamshire-milton-keynes,100.0
gb--berkshire-reading,gb--london-buckinghamshire-berkshire-outer-west,35.0
gb--berkshire-reading,gb--london-inner-east,72.0
gb--kent-north-west-kent,gb--london-essex-outer-east,30.0
gb--kent-north-west-kent,gb--london-inner-north,63.0
gb--kent-north-west-kent,gb--london-surrey-outer-south,57.0
gb--kent-north-west-kent,gb--london-inner-west,65.0
gb--essex-chelmsford,gb--kent-north-west-kent,56.0
gb--kent-north-west-kent,gb--london-surrey-outer-south-west,77.0
gb--berkshire-windsor-slough-maidenhead,gb--kent-north-west-kent,105.0
gb--kent-north-west-kent,gb--london-hertfordshire-buckinghamshire-outer-north-west,95.0
gb--kent-medway-maidstone,gb--kent-north-west-kent,22.0
gb--kent-ashford,gb--kent-north-west-kent,50.0
gb--cambridgeshire-huntingdonshire,gb--kent-north-west-kent,117.0
gb--kent-north-west-kent,gb--london-inner-south,52.0
gb--kent-north-west-kent,gb--london-central-london,50.0
gb--kent-north-west-kent,gb--london-kent-outer-south-east,22.0
gb--kent-north-west-kent,gb--london-essex-outer-north-east,52.0
gb--kent-north-west-kent,gb--london-inner-south-west,70.0
gb--essex-colchester,gb--kent-north-west-kent,83.0
gb--kent-north-west-kent,gb--kent-south-west-kent,35.0
gb--kent-north-west-kent,gb--surrey-west-sussex-east-surrey,50.0
gb--essex-thurrock,gb--kent-north-west-kent,26.0
gb--kent-north-west-kent,gb--london-hertfordshire-outer-north,70.0
gb--kent-north-west-kent,gb--surrey-west-surrey,100.0
gb--kent-north-west-kent,gb--london-inner-north-west,70.0
gb--essex-southend,gb--kent-north-west-kent,61.0
gb--hertfordshire-essex-east-hertfordshire,gb--kent-north-west-kent,76.0
gb--buckinghamshire-milton-keynes,gb--kent-north-west-kent,109.0
