locality_a,locality_b,transit_time_mins
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-south-east,66.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-south-east,78.0
gb--london-inner-south-east,gb--london-inner-west,40.0
gb--essex-southend,gb--london-inner-south-east,93.0
gb--london-inner-south-east,gb--london-surrey-outer-south-west,67.0
gb--london-inner-north-west,gb--london-inner-south-east,48.0
gb--kent-medway-maidstone,gb--london-inner-south-east,83.0
gb--london-inner-south-east,gb--surrey-west-surrey,93.0
gb--london-inner-north-east,gb--london-inner-south-east,28.0
gb--london-inner-south,gb--london-inner-south-east,22.0
gb--london-hertfordshire-outer-north,gb--london-inner-south-east,48.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-south-east,73.0
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-south-east,83.0
gb--london-central-london,gb--london-inner-south-east,28.0
gb--london-inner-north,gb--london-inner-south-east,35.0
gb--london-inner-south-east,gb--london-surrey-outer-south,40.0
gb--kent-north-west-kent,gb--london-inner-south-east,78.0
gb--london-essex-outer-north-east,gb--london-inner-south-east,44.0
gb--london-inner-east,gb--london-inner-south-east,20.0
gb--buckinghamshire-south-buckinghamshire,gb--london-inner-south-east,88.0
gb--london-inner-south-east,gb--london-inner-south-west,40.0
gb--london-inner-south-east,gb--surrey-west-sussex-east-surrey,85.0
gb--kent-south-west-kent,gb--london-inner-south-east,85.0
gb--essex-chelmsford,gb--london-inner-south-east,67.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-inner-south-east,83.0
gb--berkshire-reading,gb--london-inner-south-east,76.0
gb--london-inner-south-east,gb--london-kent-outer-south-east,20.0
gb--essex-thurrock,gb--london-inner-south-east,73.0
gb--london-essex-outer-east,gb--london-inner-south-east,35.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-buckinghamshire-berkshire-outer-west,91.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-west,26.0
gb--essex-southend,gb--london-buckinghamshire-berkshire-outer-west,106.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-surrey-outer-south-west,35.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-north-west,28.0
gb--kent-medway-maidstone,gb--london-buckinghamshire-berkshire-outer-west,96.0
gb--london-buckinghamshire-berkshire-outer-west,gb--surrey-west-surrey,106.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-north-east,52.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-south,48.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-hertfordshire-outer-north,45.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-hertfordshire-buckinghamshire-outer-north-west,24.0
gb--berkshire-windsor-slough-maidenhead,gb--london-buckinghamshire-berkshire-outer-west,96.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-central-london,41.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-north,46.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-surrey-outer-south,45.0
gb--kent-north-west-kent,gb--london-buckinghamshire-berkshire-outer-west,91.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-essex-outer-north-east,68.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-east,63.0
gb--buckinghamshire-south-buckinghamshire,gb--london-buckinghamshire-berkshire-outer-west,101.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-south-west,30.0
gb--london-buckinghamshire-berkshire-outer-west,gb--surrey-west-sussex-east-surrey,98.0
gb--kent-south-west-kent,gb--london-buckinghamshire-berkshire-outer-west,98.0
gb--essex-chelmsford,gb--london-buckinghamshire-berkshire-outer-west,80.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-buckinghamshire-berkshire-outer-west,96.0
gb--berkshire-reading,gb--london-buckinghamshire-berkshire-outer-west,89.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-kent-outer-south-east,80.0
gb--essex-thurrock,gb--london-buckinghamshire-berkshire-outer-west,86.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-essex-outer-east,80.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-west,65.0
gb--essex-southend,gb--hertfordshire-bedfordshire-st-albans-luton,115.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-surrey-outer-south-west,104.0
gb--hertfordshire-bedfordshire-st-albans-luton,gb--london-inner-north-west,76.0
