locality_a,locality_b,transit_time_mins
us--ny-new-york-city-pelham-islands,us--ny-new-york-city-upper-west-side,38.0
us--ny-new-york-city-pelham-islands,us--ny-new-york-city-southwestern-brooklyn,82.0
us--ny-new-york-city-northern-brooklyn,us--ny-new-york-city-pelham-islands,50.0
us--ny-new-york-city-pelham-islands,us--ny-new-york-city-upper-manhattan,38.0
us--ny-new-york-city-pelham-islands,us--ny-new-york-city-southern-brooklyn,82.0
us--ny-new-york-city-pelham-islands,us--ny-new-york-city-southwestern-queens,52.0
us--ny-new-york-city-pelham-islands,us--ny-new-york-city-southeastern-queens,52.0
us--ny-nassau-county-hub,us--ny-new-york-city-pelham-islands,40.0
us--ny-new-york-city-pelham-islands,us--ny-new-york-city-staten-island-north-shore,82.0
us--ny-new-york-city-pelham-islands,us--ny-west-central-suffolk-county,66.0
us--ny-new-york-city-pelham-islands,us--ny-new-york-city-staten-island-mid-island,94.0
us--ny-new-york-city-pelham-islands,us--ny-the-hamptons,139.0
us--ny-new-york-city-eastern-brooklyn,us--ny-new-york-city-pelham-islands,60.0
us--ny-new-york-city-northeast-bronx,us--ny-new-york-city-pelham-islands,16.0
us--ny-new-york-city-pelham-islands,us--ny-new-york-city-southeast-bronx,14.0
us--ny-new-york-city-midtown-manhattan,us--ny-new-york-city-pelham-islands,44.0
us--ny-nassau-county-north-shore,us--ny-new-york-city-pelham-islands,49.0
us--ny-new-york-city-northeastern-queens,us--ny-new-york-city-pelham-islands,28.0
us--ny-east-central-suffolk-county,us--ny-new-york-city-pelham-islands,84.0
us--nj-jersey-city-hoboken,us--ny-new-york-city-pelham-islands,64.0
us--ny-new-york-city-pelham-islands,us--ny-new-york-city-staten-island-south-shore,100.0
us--ny-new-york-city-pelham-islands,us--ny-new-york-city-uptown-manhattan,32.0
us--ny-new-york-city-northwest-bronx,us--ny-new-york-city-pelham-islands,28.0
us--ny-new-york-city-northwestern-brooklyn,us--ny-new-york-city-pelham-islands,64.0
us--ny-nassau-county-south-shore,us--ny-new-york-city-pelham-islands,52.0
