slug,name,area_of_reference,point_of_reference,lat,lon
nz--auckland-central-auckland,NZ: Auckland: Central Auckland,Remuera,Mount Hobson,-36.87829,174.78745
nz--auckland-south-auckland,NZ: Auckland: South Auckland,Manukau,Manukau Train Station,-36.99417,174.87688
nz--auckland-east-auckland,NZ: Auckland: East Auckland,Howick,Howick Post Office,-36.89421,174.93161
nz--auckland-north-shore,NZ: Auckland: North Shore,Glenfield,Glenfield Post Office,-36.78182,174.72164
nz--auckland-east-coast-bays,NZ: Auckland: East Coast Bays,Murrays Bay,Murrays Bay School,-36.73299,174.74682
nz--auckland-west-auckland,NZ: Auckland: West Auckland,Henderson,Henderson Post Office,-36.87899,174.63225
nz--hibiscus-coast,NZ: Hibiscus Coast,Orewa,Orewa Post Office,-36.58633,174.69547
nz--waitakere-west-coast,NZ: Waitākere - West Coast,Waimauku,Waimauku Post Office,-36.76844,174.49279
nz--kowhai-coast,NZ: Kowhai Coast,Warkworth,Warkworth Post Office,-36.3978,174.66383
nz--pukekohe,NZ: Pukekohe,Pukekohe,Pukekohe Post Office,-37.20071,174.90231
nz--whangarei,NZ: Whangārei,Whangārei,Whangārei Post Office,-35.72565,174.32221
nz--far-north,NZ: Far North,Kaitaia,Kaitaia Post Office,-35.11418,173.26425
nz--waiheke-island,NZ: Waiheke Island,Oneroa,Waiheke Post Office,-36.78217,175.00951
nz--hamilton,NZ: Hamilton,Hamilton,Hamilton Post Office,-37.7918,175.29345
nz--taupo,NZ: Taupō,Taupō,Taupō Post Office,-38.68821,176.07138
nz--tokoroa,NZ: Tokoroa,Tokoroa,Tokoroa Post Office,-38.21942,175.86744
nz--coromandel-peninsula,NZ: Coromandel Peninsula,Thames,Thames Post Office,-37.1386,175.54226
nz--king-country,NZ: King Country,Te Kūiti,Te Kūiti Post Office,-38.33501,175.16596
