locality_a,locality_b,transit_time_mins
nz--auckland-central-auckland,nz--auckland-south-auckland,18
nz--auckland-central-auckland,nz--auckland-east-auckland,20
nz--auckland-central-auckland,nz--auckland-north-shore,20
nz--auckland-central-auckland,nz--auckland-east-coast-bays,24
nz--auckland-central-auckland,nz--auckland-west-auckland,20
nz--auckland-south-auckland,nz--auckland-east-auckland,20
nz--auckland-south-auckland,nz--auckland-west-auckland,28
nz--auckland-north-shore,nz--auckland-east-coast-bays,12
nz--auckland-north-shore,nz--auckland-west-auckland,24
nz--auckland-central-auckland,nz--auckland-waiheke-island,84
nz--auckland-east-auckland,nz--auckland-waiheke-island,90
nz--auckland-west-auckland,nz--auckland-waitakere-west-coast,24
nz--auckland-north-shore,nz--auckland-waitakere-west-coast,30
nz--auckland-east-coast-bays,nz--auckland-waitakere-west-coast,35
nz--auckland-north-shore,nz--auckland-hibiscus-coast,28
nz--auckland-east-coast-bays,nz--auckland-hibiscus-coast,24
nz--auckland-waitakere-west-coast,nz--auckland-hibiscus-coast,45
nz--auckland-hibiscus-coast,nz--auckland-kowhai-coast,26
nz--auckland-kowhai-coast,nz--northland-whangarei,110
nz--northland-whangarei,nz--northland-far-north,150
nz--auckland-south-auckland,nz--auckland-waikato-pukekohe,28
nz--auckland-waikato-pukekohe,nz--waikato-hamilton,60
nz--auckland-waikato-pukekohe,nz--waikato-coromandel-peninsula,60
nz--waikato-hamilton,nz--bay-of-plenty-tauranga,85
nz--waikato-coromandel-peninsula,nz--bay-of-plenty-tauranga,100
nz--waikato-hamilton,nz--waikato-coromandel-peninsula,85
nz--waikato-hamilton,nz--bay-of-plenty-rotorua,90
nz--waikato-hamilton,nz--waikato-tokoroa,70
nz--waikato-hamilton,nz--waikato-manawatu-whanganui-king-country,100
nz--bay-of-plenty-tauranga,nz--bay-of-plenty-rotorua,60
nz--bay-of-plenty-rotorua,nz--waikato-tokoroa,50
nz--waikato-tokoroa,nz--waikato-manawatu-whanganui-king-country,85
nz--bay-of-plenty-rotorua,nz--waikato-taupo,65
nz--waikato-tokoroa,nz--waikato-taupo,55
nz--waikato-manawatu-whanganui-king-country,nz--waikato-taupo,100
nz--bay-of-plenty-tauranga,nz--bay-of-plenty-whakatane,70
nz--bay-of-plenty-rotorua,nz--bay-of-plenty-whakatane,80
nz--bay-of-plenty-whakatane,nz--gisborne-bay-of-plenty-east-cape,180
nz--bay-of-plenty-whakatane,nz--gisborne-poverty-bay,160
nz--gisborne-poverty-bay,nz--gisborne-bay-of-plenty-east-cape,150
nz--gisborne-poverty-bay,nz--hawkes-bay-wairoa,80
nz--hawkes-bay-wairoa,nz--hawkes-bay-napier-hastings,120
nz--waikato-taupo,nz--hawkes-bay-napier-hastings,120
nz--waikato-taupo,nz--hawkes-bay-wairoa,190
nz--waikato-taupo,nz--manawatu-whanganui-waikato-tongariro,100
nz--waikato-manawatu-whanganui-king-country,nz--manawatu-whanganui-waikato-tongariro,110
nz--waikato-manawatu-whanganui-king-country,nz--taranaki-new-plymouth,150
nz--taranaki-new-plymouth,nz--taranaki-south-taranaki,65
nz--taranaki-south-taranaki,nz--manawatu-whanganui-whanganui,70
nz--manawatu-whanganui-whanganui,nz--manawatu-whanganui-waikato-tongariro,100
nz--waikato-manawatu-whanganui-king-country,nz--manawatu-whanganui-whanganui,160
nz--manawatu-whanganui-whanganui,nz--manawatu-whanganui-palmerston-north,60
nz--manawatu-whanganui-waikato-tongariro,nz--manawatu-whanganui-palmerston-north,110
nz--manawatu-whanganui-palmerston-north,nz--manawatu-whanganui-hawkes-bay-tararua,50
nz--manawatu-whanganui-waikato-tongariro,nz--manawatu-whanganui-hawkes-bay-tararua,140
nz--manawatu-whanganui-hawkes-bay-tararua,nz--hawkes-bay-napier-hastings,85
nz--manawatu-whanganui-waikato-tongariro,nz--hawkes-bay-napier-hastings,160
nz--manawatu-whanganui-palmerston-north,nz--manawatu-whanganui-horowhenua,40
nz--manawatu-whanganui-whanganui,nz--manawatu-whanganui-horowhenua,75
nz--manawatu-whanganui-hawkes-bay-tararua,nz--wellington-manawatu-whanganui-wairarapa,75
nz--manawatu-whanganui-palmerston-north,nz--wellington-manawatu-whanganui-wairarapa,75
nz--manawatu-whanganui-horowhenua,nz--wellington-kapiti-coast,35
nz--wellington-kapiti-coast,nz--wellington-porirua,30
nz--wellington-kapiti-coast,nz--wellington-upper-hutt,40
nz--wellington-porirua,nz--wellington-upper-hutt,30
nz--wellington-upper-hutt,nz--wellington-manawatu-whanganui-wairarapa,70
nz--wellington-lower-hutt,nz--wellington-upper-hutt,18
nz--wellington-city,nz--wellington-lower-hutt,14
nz--wellington-city,nz--wellington-porirua,16
nz--wellington-lower-hutt,nz--wellington-porirua,20
nz--wellington-lower-hutt,nz--wellington-kapiti-coast,40
