slug,name,area_of_reference,point_of_reference,lat,lon
nz--canterbury-christchurch,NZ: Canterbury: Christchurch,Christchurch,Christchurch Post Office,-43.53292,172.63591
nz--canterbury-rolleston,NZ: Canterbury: Rolleston,Rolleston,Rolleston Post Office,-43.5925,172.37645
nz--canterbury-south-canterbury,NZ: Canterbury: South Canterbury,Timaru,Timaru Post Office,-44.39523,171.25356
nz--canterbury-mid-canterbury,NZ: Canterbury: Mid Canterbury,Methven,Methven Post Office,-43.63345,171.6468
nz--canterbury-rangiora,NZ: Canterbury: Rangiora,Rangiora,Rangiora Post Office,-43.30313,172.59284
nz--canterbury-north-canterbury,NZ: Canterbury: North Canterbury,Kaikōura,Kaikōura Post Office,-42.40068,173.68156
nz--otago-dunedin,NZ: Otago: Dunedin,Dunedin,Dunedin Post Office,-45.87071,170.50525
nz--otago-queenstown,NZ: Otago: Queenstown,Queenstown,Queenstown Post Office,-45.03157,168.66278
nz--otago-north-otago,NZ: Otago: North Otago,Oamaru,Oamaru Post Office,-45.08093,170.98239
nz--otago-wanaka,NZ: Otago: Wānaka,Wānaka,Wānaka Post Office,-44.6957,169.13533
nz--otago-central-otago,NZ: Otago: Central Otago,Alexandra,Alexandra Post Office,-45.25204,169.38859
nz--otago-south-otago,NZ: Otago: South Otago,Balclutha,Balclutha Post Office,-46.23896,169.73848
nz--canterbury-mackenzie,NZ: Canterbury: Mackenzie,Twizel,Twizel Post Office,-44.25714,170.09913
nz--nelson-tasman-nelson-richmond,NZ: Nelson/Tasman: Nelson-Richmond,Stoke,Stoke Post Office,-41.31201,173.23377
nz--southland-invercargill,NZ: Southland: Invercargill,Invercargill,Invercargill Post Office,-46.40804,168.34695
nz--marlborough-blenheim,NZ: Marlborough: Blenheim,Blenheim,Blenheim Post Office,-41.51232,173.9562
nz--tasman-motueka,NZ: Tasman: Motueka,Motueka,Motueka Post Office,-41.11098,173.01163
nz--tasman-golden-bay,NZ: Tasman: Golden Bay,Tākaka,Tākaka Post Office,-40.85932,172.80554
nz--marlborough-marlborough-sounds,NZ: Marlborough: Marlborough Sounds,Picton,Picton Post Office,-41.2922,174.00739
nz--west-coast-buller,NZ: West Coast: Buller,Westport,Westport Post Office,-41.75974,171.60197
nz--west-coast-grey,NZ: West Coast: Grey,Greymouth,Greymouth Post Office,-42.4488,171.21006
nz--west-coast-westland,NZ: West Coast: Westland,Whataroa,Whataroa Post Office,-43.26172,170.35932
nz--southland-gore,NZ: Southland: Gore,Gore,Gore Post Office,-46.09976,168.94476
nz--southland-fiordland,NZ: Southland: Fiordland,Te Anau,Te Anau Post Office,-45.41516,167.71643
