locality_a,locality_b,transit_time_mins
nz--canterbury-christchurch,nz--canterbury-rolleston,22
nz--canterbury-christchurch,nz--canterbury-rangiora,28
nz--canterbury-rolleston,nz--canterbury-rangiora,40
nz--canterbury-rolleston,nz--canterbury-mid-canterbury,50
nz--canterbury-rolleston,nz--canterbury-south-canterbury,110
nz--canterbury-mid-canterbury,nz--canterbury-south-canterbury,80
nz--canterbury-rangiora,nz--canterbury-north-canterbury,130
nz--canterbury-south-canterbury,nz--otago-north-otago,65
nz--otago-north-otago,nz--otago-dunedin,85
nz--otago-dunedin,nz--otago-south-otago,65
nz--otago-north-otago,nz--otago-central-otago,160
nz--otago-dunedin,nz--otago-central-otago,150
nz--otago-south-otago,nz--otago-central-otago,110
nz--canterbury-south-canterbury,nz--canterbury-mackenzie,120
nz--canterbury-mackenzie,nz--otago-wanaka,110
nz--canterbury-mid-canterbury,nz--canterbury-mackenzie,160
nz--otago-north-otago,nz--canterbury-mackenzie,110
nz--otago-north-otago,nz--otago-wanaka,170
nz--otago-wanaka,nz--otago-queenstown,65
nz--otago-central-otago,nz--otago-queenstown,75
nz--otago-central-otago,nz--otago-wanaka,65
nz--otago-central-otago,nz--canterbury-mackenzie,120
nz--otago-south-otago,nz--southland-gore,55
nz--otago-central-otago,nz--southland-gore,100
nz--otago-queenstown,nz--southland-gore,130
nz--southland-gore,nz--southland-invercargill,55
nz--otago-queenstown,nz--southland-invercargill,150
nz--southland-invercargill,nz--southland-fiordland,110
nz--southland-gore,nz--southland-fiordland,100
nz--otago-queenstown,nz--southland-fiordland,130
nz--otago-wanaka,nz--west-coast-westland,260
nz--west-coast-westland,nz--west-coast-grey,110
nz--west-coast-grey,nz--west-coast-buller,85
nz--west-coast-grey,nz--canterbury-rolleston,180
nz--west-coast-buller,nz--canterbury-rangiora,240
nz--canterbury-mid-canterbury,nz--west-coast-grey,200
nz--west-coast-grey,nz--canterbury-rangiora,190
nz--west-coast-buller,nz--canterbury-north-canterbury,270
nz--canterbury-north-canterbury,nz--marlborough-blenheim,100
nz--marlborough-blenheim,nz--marlborough-marlborough-sounds,26
nz--marlborough-blenheim,nz--nelson-tasman-nelson-richmond,110
nz--nelson-tasman-nelson-richmond,nz--tasman-motueka,40
nz--tasman-motueka,nz--tasman-golden-bay,60
nz--canterbury-rangiora,nz--nelson-tasman-nelson-richmond,300
nz--west-coast-buller,nz--nelson-tasman-nelson-richmond,180
nz--west-coast-grey,nz--nelson-tasman-nelson-richmond,220
nz--west-coast-grey,nz--marlborough-blenheim,250
nz--west-coast-buller,nz--marlborough-blenheim,210
