locality_a,locality_b,transit_time_mins
nz--canterbury-rangiora,nz--otago-dunedin,300.0
nz--otago-dunedin,nz--otago-south-otago,65.0
nz--canterbury-south-canterbury,nz--otago-dunedin,150.0
nz--otago-dunedin,nz--southland-fiordland,220.0
nz--otago-dunedin,nz--otago-wanaka,215.0
nz--otago-dunedin,nz--otago-north-otago,85.0
nz--canterbury-mackenzie,nz--otago-dunedin,195.0
nz--otago-dunedin,nz--southland-gore,120.0
nz--canterbury-christchurch,nz--otago-dunedin,282.0
nz--canterbury-mid-canterbury,nz--otago-dunedin,230.0
nz--otago-central-otago,nz--otago-dunedin,150.0
nz--otago-dunedin,nz--southland-invercargill,175.0
nz--otago-dunedin,nz--otago-queenstown,225.0
nz--canterbury-rolleston,nz--otago-dunedin,260.0
nz--canterbury-rangiora,nz--nelson-tasman-nelson-richmond,300.0
nz--canterbury-rangiora,nz--canterbury-south-canterbury,150.0
nz--canterbury-rangiora,nz--otago-north-otago,215.0
nz--canterbury-mackenzie,nz--canterbury-rangiora,250.0
nz--canterbury-rangiora,nz--west-coast-buller,240.0
nz--canterbury-christchurch,nz--canterbury-rangiora,28.0
nz--canterbury-rangiora,nz--marlborough-marlborough-sounds,256.0
nz--canterbury-mid-canterbury,nz--canterbury-rangiora,90.0
nz--canterbury-rangiora,nz--west-coast-grey,190.0
nz--canterbury-north-canterbury,nz--canterbury-rangiora,130.0
nz--canterbury-rangiora,nz--marlborough-blenheim,230.0
nz--canterbury-rangiora,nz--canterbury-rolleston,40.0
nz--canterbury-rangiora,nz--west-coast-westland,300.0
nz--canterbury-south-canterbury,nz--otago-south-otago,215.0
nz--otago-south-otago,nz--southland-fiordland,155.0
nz--otago-south-otago,nz--otago-wanaka,175.0
nz--otago-north-otago,nz--otago-south-otago,150.0
nz--canterbury-mackenzie,nz--otago-south-otago,230.0
nz--otago-south-otago,nz--southland-gore,55.0
nz--canterbury-mid-canterbury,nz--otago-south-otago,295.0
nz--otago-central-otago,nz--otago-south-otago,110.0
nz--otago-south-otago,nz--southland-invercargill,110.0
nz--otago-queenstown,nz--otago-south-otago,185.0
nz--canterbury-rolleston,nz--otago-south-otago,325.0
nz--nelson-tasman-nelson-richmond,nz--tasman-motueka,40.0
nz--nelson-tasman-nelson-richmond,nz--tasman-golden-bay,100.0
nz--nelson-tasman-nelson-richmond,nz--west-coast-buller,180.0
nz--canterbury-christchurch,nz--nelson-tasman-nelson-richmond,328.0
nz--marlborough-marlborough-sounds,nz--nelson-tasman-nelson-richmond,136.0
nz--nelson-tasman-nelson-richmond,nz--west-coast-grey,220.0
nz--canterbury-north-canterbury,nz--nelson-tasman-nelson-richmond,210.0
nz--marlborough-blenheim,nz--nelson-tasman-nelson-richmond,110.0
nz--nelson-tasman-nelson-richmond,nz--west-coast-westland,330.0
nz--tasman-golden-bay,nz--tasman-motueka,60.0
nz--tasman-motueka,nz--west-coast-buller,220.0
nz--marlborough-marlborough-sounds,nz--tasman-motueka,176.0
nz--tasman-motueka,nz--west-coast-grey,260.0
nz--canterbury-north-canterbury,nz--tasman-motueka,250.0
nz--marlborough-blenheim,nz--tasman-motueka,150.0
nz--canterbury-south-canterbury,nz--otago-wanaka,230.0
