slug,name,area_of_reference,point_of_reference,lat,lon
cl--region-metropolitana-santiago-centro,CL: Región Metropolitana: Santiago Centro,Santiago Centro,Plaza de Armas de Santiago,-33.43779,-70.65054
cl--region-metropolitana-santiago-oriente,CL: Región Metropolitana: Santiago Oriente,Las Condes,Estación de metro Manquehue,-33.40951,-70.56978
cl--region-metropolitana-santiago-sur,CL: Región Metropolitana: Santiago Sur,La Granja,Estación de metro Santa Rosa,-33.54246,-70.63415
cl--region-metropolitana-santiago-poniente,CL: Región Metropolitana: Santiago Poniente,Pudahuel,Estación de metro Laguna Sur,-33.46219,-70.7379
cl--region-metropolitana-santiago-norte,CL: Región Metropolitana: Santiago Norte,Conchalí,Estación de metro Cardenal Caro,-33.37334,-70.68634
cl--region-metropolitana-cajon-del-maipo,CL: Región Metropolitana: Cajón del Maipo,San José de Maipo,Plaza de Armas de San José de Maipo,-33.640361,-70.352883
cl--region-metropolitana-colina,CL: Región Metropolitana: Colina,Colina,Plaza de Armas de Colina,-33.202656,-70.674995
cl--region-metropolitana-buin,CL: Región Metropolitana: Buin,Buin,Plaza de Armas de Buin,-33.731991,-70.741986
cl--region-metropolitana-melipilla,CL: Región Metropolitana: Melipilla,Melipilla,Plaza de Armas de Melipilla,-33.68559,-71.214591
cl--region-metropolitana-talagante,CL: Región Metropolitana: Talagante,Talagante,Plaza de Armas de Talagante,-33.66451,-70.93029
cl--region-metropolitana-curacavi,CL: Región Metropolitana: Curacaví,Curacaví,Plaza de Armas de Curacaví,-33.402171,-71.12949
cl--region-metropolitana-lampa,CL: Región Metropolitana: Lampa,Lampa,Plaza de Armas de Lampa,-33.286497,-70.872846
cl--region-metropolitana-farellones,CL: Región Metropolitana: Farellones,Farellones,Retén Farellones,-33.352286,-70.315783
